title,company_name,job_description,english_level,salary
Senior Python Developer for AI Project (Location - Germany only) qp,Confitech Dienstleistungs GmbH,"✅ This position is for direct hiring. You will become an official client's employee.
📍 This position requires working within 🇩🇪 Germany

About the company & project:

Artificial intelligence is the steam engine of the fourth industrial revolution with a significant impact on all our lives. However, modern AI algorithms are powerful but dangerous black boxes that can cause significant financial and physical harm. Apple’s credit card which has been investigated for discriminating against women, Microsoft’s chatbot that reportedly made racist tweets, or Tesla’s autopilot which was reported to cause crashes are just examples of recent AI incidents. Making algorithmic decision-making transparent and accountable is, therefore, a fundamental prerequisite for future-proof organizations.

Our international team of machine learning researchers, engineers, and business minds has built AI systems for leading organizations and published at top-tier academic venues.

We enable society for a safe and self-determined co-existence with intelligent machines.

Your profile:

- 5+ years of professional software development experience.
- Expert Python programming skills.
- Solid skills in C/C++ or Java.
- Experience in cloud technologies (e.g. AWS).
- Experience in container/orchestration tools (Kubernetes, Docker).
- Solid knowledge of relational databases and SQL.
- Very good knowledge of design patterns and software design best practices.
- Fully comfortable working in English (written and spoken), German is a plus.
- Experience with ML libraries like scikit-learn, Spark ML or PyTorch/Tensorflow is a big plus.


Your main responsibilities:
- Contribute to the architecture and delivery process of a scalable software product involving data science and machine learning.
- Work on and improve existing algorithms.
- Solve challenging optimization problems.
- Develop clean, high-performance production codes and document them in a knowledge database.
- Take part in code reviews to ensure the high-quality standards of the product and codebase.",Upper,$3500-4500
Python developer with DevOps experience,Jito.dev,"We're looking for a motivated Python developer to join our miracle team.

REQUIREMENTS:

- At least 2 years of experience in Python;
- Experience implementing DevOps tasks;
- Experience with containerization tools like Docker and orchestration tools like Kubernetes;
- Familiarity with CI/CD tools like Jenkins, GitHub Actions;
- Spoken and written English at B2 level or higher;
- Strong understanding of software development best practices.

Would be a plus:

- Knowledge of GIS technologies is a significant advantage and may impact compensation;
- MLflow, TFX, Kubeflow, TensorFlow, or PyTorch;
- Bachelor's degree in Computer Science, Engineering, or a related field.

RESPONSIBILITIES:

- Write code for dataset preparation and data cleaning;
- Collaborate with data scientists to streamline the deployment of machine learning models into production;
- Building and setting up new development tools and infrastructure;
- Optimize computing resources to ensure efficient utilization;
- Troubleshoot and resolve issues related to ML model deployments;
- Stay updated with the latest DevOps tools, trends, and best practices.",Upper,
Senior Python Engineer,HebronSoft,"Description:
We are seeking an experienced Senior Python Engineer to join our team in the field of e-commerce and finance. Our client, a leading company in this space, is dedicated to developing and maintaining cutting-edge solutions for Point of Sale (POS) systems, web applications, and financial services.


Requirements:
Minimum 5 years of experience as a Python Engineer
Knowledge and experience working with POS systems, web development, financial applications, and API integration
Proficient in Python and its frameworks such as Django or Flask
Experience with relational databases, such as PostgreSQL or MySQL
Understanding of performance optimization techniques
Ability to work in a team and communicate effectively with team members
English level at least Intermediate Strong


What We Offer:
Competitive compensation depended on experience and skills
Flexible working hours plus the ability to work from home
Transparency in relationships and workflows
Working on an extra-technological project with a team of professionals
Professional and career growth opportunities
Regular corporate social activities
Regular technical training in our office (Engineering days, Hackathon, etc.)
English courses

Here at HebronSoft, we value and prioritize people over profits. With quite extensive expertise in delivering competitive software solutions across devices and industry verticals, we are proud to work with great IT folks who have been with us for years.",Intermediate,
Junior Backend Developer (Python + Django) $900-1300,Devsteam.cloud,"We are an innovative and dynamic company leader in its field. We firmly believe that our employees are our greatest asset and invest significant resources in their growth and development. Our unique corporate culture emphasizes creativity, teamwork, and a passion for design. By joining our team, you can contribute to projects that shape the future of our business while developing your professional skills in a supportive and encouraging environment.

We are seeking a highly motivated Junior Backend Developer with expertise in Python and Django to join our dynamic team. This is a fantastic opportunity for individuals looking to further their career in a professional IT environment.

Key responsibilities:
• Collaborate with our experienced development team to design, develop, and maintain backend solutions using Python and Django.
• Assist in the implementation of scalable and efficient web products.
• Participate in code reviews and contribute to the continuous improvement of coding standards and best practices.
• Troubleshoot and debug issues to ensure optimal performance and functionality.
• Work closely with front-end developers and other team members to deliver high-quality, integrated solutions.

Requirements:
• Minimum of 1 year of relevant work experience in IT companies (experience gained through training, freelancing, or personal projects will not be considered).
• Strong knowledge of Python and web development frameworks, with a focus on Django.
• Familiarity with RESTful API development and integration.
• Understanding of database systems.
• Experience with version control systems, preferably Git.
• Good communication and teamwork skills.
• A passion for learning and staying up-to-date with industry trends and emerging technologies.

What we offer:
• An opportunity to work with a dynamic team of experienced professionals.
• Career growth and development opportunities.
• A collaborative and innovative work environment.
• Ongoing learning and skill-building initiatives.

We encourage you to apply if you meet the above requirements and are eager to take your career to the next level.

A persuasive request - before giving feedback, watch our video and start with the offer you will find after watching the video.
This is to protect against those who slander reviews with ChatGpt - we just won't read them if you don't start with the right words :)",,$900-1300
Senior Python/Django Engineer від $3000,at Apexive,"Apexive is a premier software studio that creates top-notch technology for startups.

We have a remote-first culture, and this position can be based anywhere. We encourage you to work in the way that best suits you. The company is led by a software architect (the founder actually codes), so you’ll never feel like a cog in the machine. Everyone has the chance to make decisions that steer the company as a whole.

While we are technology agnostic and believe in using the right tools for a given challenge, we are experts in cutting-edge frameworks and platforms, such as Flutter/Dart, Google Cloud Platform/AWS/Kubernetes, Python/Django, and Terraform, to name very a few. This is a full-time position.

For this role, we are considering candidates who are remote-based. Apexive offers different work modes to meet the variety of needs and preferences of our team. Learn more about our engineering philosophies, tools, and some of the challenges we’ve been solving on our Engineering blog.

What You’ll Do:

- Develop and maintain Backend solutions using Python/Django
- Build docker images that can run on top of AWS or other PaaS
- Model databases using MySQL, Postgres, DynamoDB
- Understand the needs of our clients and come up with solutions for their problems
- Taking an active part in our learning and knowledge-sharing culture

Skills We’re looking for:

- 3+ years of Python/Django experience
- Experience with RESTful backend applications, specially built with Django
- An inability to write anything but clean, maintainable code.
- Strong aversion to hard code
- Experience with deployment processes like AWS, Heroku
- Being up-to-date with the latest news and technologies about the Backend
- High English proficiency as our company language is English
- Ability to work independently
- Alignment with our values, including get things done attitude

We’re looking for people who are passionate about building tech for startups and do not afraid of challenges!

Nice to have:

- UI/UX feeling
- Docker, CircleCI
- Terraform, Odoo
- Basic knowledge of frontend
- Contributions to open-source projects

Perks & Benefits

💰 Competitive compensation
📈 Equity options
💻 Work with the latest tech stack and top startups from various industries
🏖️ Offsite week in Thailand full of adventures — all expenses paid
🧳 Flexible work hours and truly remote work culture
🧗‍♂️ Work From Anywhere
👫 Mentorship program — get a mentor and become one
📚 Conferences, meetups, language lessons, and seminars to support personal growth

Our Hiring Process:

Joining Apexive means becoming part of a team that values innovation and collaboration. Here's how our hiring process works:

Apply: Start by submitting your application. Show us why you're excited about joining Apexive and how your skills and experiences make you a great fit for our team.

Technical Survey: After applying, you'll be asked to complete a technical survey. This is your opportunity to showcase your skills. Please include links to specific sections of code where you've made significant contributions or solved complex problems.

Cultural Fit Interview: If your technical survey impresses us, we'll invite you for a cultural fit interview. This is a chance for us to get to know each other better and see how well you align with Apexive's values and culture.

Technical Interview: Next, you'll have a technical interview. This is where you'll demonstrate your technical expertise, problem-solving abilities, and how you approach and tackle technical challenges.

Offer: If all goes well, we'll extend an offer for you to join our team!

Welcome aboard!",Upper,від $3000
Senior Python Developer,Luxoft,"Project Description:
One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.

Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.
Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.

Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.
Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.

Mandatory Skills Description:
Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.

Nice-to-Have Skills:
Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.

Languages:
English: B2 Upper Intermediate",Upper,
Senior Python Developer,Luxoft,"Project Description:
One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.
Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.
Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.
Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.
Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.
Mandatory Skills Description:
Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.
Nice-to-Have Skills:Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.
Languages:
English: B2 Upper Intermediate",Upper,
Python Developer,Luxoft,"One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.
Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.
Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.
Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.
Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.
Mandatory Skills Description:
Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.
Nice-to-Have Skills:Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.",Upper,
Senior Python Developer,Luxoft,"Project Description:
One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.

Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.

Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.

Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.

Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.

Mandatory Skills Description:
Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.

Nice-to-Have Skills:
Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.",Upper,$2000-3800
Senior Python Developer,Luxoft,"Project Description:
One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.

Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.
Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.
Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.
Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.

Mandatory Skills Description:

Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.

Nice-to-Have Skills:
Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.

Languages:
English: B2 Upper Intermediate",Upper,
Python Developer,Luxoft,"Project Description:
One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas domain.
Our project is stable, long-term and constantly adopts new technologies.

Work supposes close cooperation with Customer team located in Houston and following Agile principles.
Our team is senior, supportive and friendly.

Responsibilities:
Design, develop, and maintain robust and scalable backend systems using Python, AWS Lambda functions, and GraphQL.
Collaborate closely with cross-functional teams including front-end engineers, product managers, and designers to define and implement APIs that meet business requirements.

Build efficient and optimized GraphQL APIs that enable clients to retrieve data with minimal over-fetching or under-fetching.
Leverage AWS services to architect and implement serverless solutions, utilizing Lambda functions for event-driven and microservices architectures.
Develop data processing pipelines, ETL processes, and real-time data streaming components using Python and AWS tools.
Optimize and fine-tune backend systems for performance, reliability, and scalability.

Work with DevOps teams to ensure smooth deployment and operation of backend services on AWS infrastructure.
Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes.

Mandatory Skills Description:
Bachelor's degree in Computer Science, Engineering, or related field (or equivalent work experience).
3+ years of experience
Proven experience as a Back-End Software Engineer, with a strong track record of designing and implementing backend solutions.
Proficiency in Python and a solid understanding of software design principles.
Experience developing serverless applications using AWS Lambda functions.
In-depth knowledge of GraphQL and its implementation principles.
Familiarity with AWS services such as API Gateway, DynamoDB, S3, and CloudFormation.
Strong understanding of RESTful API design, microservices architecture, and event-driven programming.
Ability to write clean, maintainable, and well-documented code.
Problem-solving mindset with the ability to troubleshoot and debug complex backend issues.
Excellent teamwork and communication skills, with the ability to collaborate effectively in a cross-functional environment.

Nice-to-Have Skills:
Experience with CI/CD pipelines and version control systems (e.g., Git) is a plus.",Upper,$3500-4000
Middle Python Developer,Leadsdoit,"Leadsdoit - успішна performance marketing компанія з українським корінням. Ми займаємося affiliate-monetized проєктами для закордонних та внутрішніх ринків. Створюємо власні мобільні додатки та проєкти, спрямовані на весь світ. Ми зробили неймовірне - топові умови, інфраструктуру та ресурси, а все задля професійної прокачки. А тому, з ким би ти не співпрацював, з нами крутіше :)

Розширюємо команду за кордоном та запрошуємо Middle Python Developer, який допоможе зробити наші інтеграції, автоматизації та розробку внутрішніх сервісів ще якісніше та ефективніше!
Ми дуже хочемо, щоб ти підійшов нам на всі 100%, тож пробіжімось за списком наших очікувань.

Ми будемо ідеально доповнювати один одного, якщо ти маєш:
- Комерційний досвід від 2 років у веб-розробці;
- Розуміння принципів ООП та як працює протокол HTTP;
- Впевнене знання та досвід застосування Python3;
- Досвід практичного застосування веб-фреймворків Flask/Django;
- Впевнене знання та досвід застосування SQL (оптимізація запитів, проектування невеликих БД);
- Впевнене знання та досвід застосування git-систем;
- Загальні знання HTML, CSS, JS (буде плюсом досвід з роботи з VueJS, React);
- Вміння працювати з чужим кодом;
- Перебуваєш у Європі.

Буде перевагою:
- Досвід роботи з будь-яким офіційним API від Google (gmail, youtube, google ads, etc.);
- Досвід роботи з Docker;
- Досвід роботи з threading/multiprocess;
- Досвід роботи з unittest, pytest;
- Досвід роботи з selenium/playwright.

Основні завдання:
- Розробка web-додатків;
- Розробка та підтримка чат-ботів різної складності;
- Доопрацювання існуючих проектів;
- Самостійне вивчення сторонніх сервісів для інтеграції;
- Проектування структури зберігання даних;
- Розгорнути сервер на VPS;
- Написання документації.

Чому наша команда тобі точно сподобається? Тому, що у нас ти знайдеш:
Нетривіальні задачі та нові челенджи.
Фінансова стійкість - перформенс ревью кожні пів року з моменту завершення випробувального терміну.
Найкрутіша команда контенту - заряджена на результат!
Власний відділ розробників, дизайнерів, фармерів та баєрів.
Можливість втілювати навіть найбожевільніші ідеї.
Чесну та професійну команду, яка готова слухати та розуміти, а головне – підтримати тебе у профбезумстві!
Кар'єрне зростання - стань тімлідом або відкрий свій напрямок!

Наші цінності:
Чесність - Завжди прямо та відкрито висловлюємо свою думку.
Партнерство та Синергія - Усвідомлюємо важливість взаємовіддачі. Формуємо екологічні взаємини, що базуються на довірі та підтримці.
Захопленість - Горимо ідеями та не втрачаємо азарт. Прагнемо розібратися в суті будь-якого питання, бути залученим до його вирішення і стати найкращим із найкращих!
Результативність - Результат – наш найкращий друг. Ми знаємо, як досягати мети та впевнено крокуємо шляхом переможців.
Любов до цифр - Аргументуємо свої рішення на підставі реальних цифр. Проводимо аналіз та оцифровуємо результати.

Вражає? :)
Тоді швидше відправляй резюме, ми вже чекаємо на тебе!",Intermediate,
"Senior Python Developer(AI, ML experience)",Trinetix,"Job Description:
We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.

Responsibilities:
Develop and maintain applications using Python, with a focus on integrating ChatGPT, AWS GlueJobs/Azure Functions and other.
Design, build, and deploy machine learning models.
Implement ETL processes using AWS GlueJobs/Azure Functions to process and transform large datasets.
Collaborate with cross-functional teams to define, design, and ship new features and enhancements.
Optimize applications for maximum performance, scalability, and maintainability.
Troubleshoot, debug, and resolve software defects and issues.
Keep up-to-date with the latest industry trends and technologies to ensure the software is current and competitive.
Provide technical guidance and support to other team members.
Write clean, maintainable, and well-documented code.
Participate in code reviews and contribute to improving code quality.

Requirements:

3+ years of experience in software development using Python.
Hands-on experience with AWS services or Azure Cloud Platform
Strong understanding of machine learning concepts, NLP, and ChatGPT.
Experience in building, training, and deploying machine learning models.
Familiarity with ETL processes and data transformation.
Strong knowledge of web services, API development, and RESTful APIs.
Proficient understanding of code versioning tools, such as Git.
Excellent problem-solving skills and attention to detail.
Strong verbal and written communication skills.
Basic knowledge of frameworks and libraries such as Pandas, FastAPI, SpaCy, etc.

Preferred Qualifications:
Experience working with other AI and NLP technologies, such as OpenAI's GPT family, Azure OpenAI, PyTorch or related.
Knowledge of containerization and orchestration technologies, such as Docker and Kubernetes.
Familiarity with agile development methodologies, such as Scrum or Kanban.",Upper,від $3000
Middle Python Developer,Trinetix,"We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.

Responsibilities:
Develop and maintain applications using Python, with a focus on integrating ChatGPT, AWS GlueJobs/Azure Functions and other.
Design, build, and deploy machine learning models.
Implement ETL processes using AWS GlueJobs/Azure Functions to process and transform large datasets.
Collaborate with cross-functional teams to define, design, and ship new features and enhancements.
Optimize applications for maximum performance, scalability, and maintainability.
Troubleshoot, debug, and resolve software defects and issues.
Keep up-to-date with the latest industry trends and technologies to ensure the software is current and competitive.
Provide technical guidance and support to other team members.
Write clean, maintainable, and well-documented code.
Participate in code reviews and contribute to improving code quality.

Requirements:

- 2+ years of experience in software development using Python
- Hands-on experience with AWS services or Azure Cloud Platform
- Strong understanding of machine learning concepts, NLP, and ChatGPT
- Experience in building, training, and deploying machine learning models
- Familiarity with ETL processes and data transformation
- Strong knowledge of web services, API development, and RESTful APIs
- Proficient understanding of code versioning tools, such as Git
- Excellent problem-solving skills and attention to detail
- Strong verbal and written communication skills.
- Basic knowledge of frameworks and libraries such as Pandas, FastAPI, SpaCy, etc.

Preferred Qualifications:
Experience working with other AI and NLP technologies, such as OpenAI's GPT family, Azure OpenAI, PyTorch or related.
Knowledge of containerization and orchestration technologies, such as Docker and Kubernetes.
Familiarity with agile development methodologies, such as Scrum or Kanban.",Upper,
Middle Python Developer with Experience in ML/NLP frameworks $3000-4500,SFox GmbH,"Looking for middle Python Developer with Experience in ML/NLP frameworks

On behalf of our client in Sweden, we’re looking for skilled remote Fullstack developer.

You will work for a software company based in Lund, Sweden with their AI products. We explain, build and implement AI solutions. Founded late 2020 with IP that has been under development since 2015 with 30+ man-years invested in R&D of our four products: Titus, Aiida, Siegfried and Papageno. Highly specialized team focusing on applied ML & Data Science with extensive backend, frontend, mobile dev & information security expertise.

Product example you will work on is: A digital assistant that will revolutionize the way you process your files, including invoices, receipts and other types of important documents. With the help of artificial intelligence, The assistant automates your workflows — providing you and your business time for more value bringing tasks.

Another product will be one that delivers insights and recommendations on client level, in a SWOT format, derived from large accounting and financial data sets combined with publicly available data.

We look forward to share more information to you in an interview.

The must have's are as follows:
- professional development with python for minimum 3 years, API's and micro service creation
- professional machine learning experience for minimum 1 year, including setting up models in production with pipeline and continuous learning feedback
- deep personal interest in the AI fields of NLP/NLU, large language models as well as computer vision
- bachelors degree in computer science, engineering, math or equivalent field (can be discussed if obvious competence and references exists)

The nice-to-have's:
- dev ops knowledge, kubernetes, docker, CI/CD, terraform, message queues...
- cloud provider competence: GCP, Azure, AWS
- professional frontend development with react.js for minimum 2 years, implemented figma designs in webapps used in production, basic UX skills enabling good UI production and efficient user interactions
- professional mobile app development with react.native and/or flutter - expo.dev knowledge is an extra plus
- masters degree computer science, engineering, math or equivalent field (can be discussed if obvious competence and references exists)",Upper,$3000-4500
Senior Python Developer,Trinetix,"We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The ideal candidate will have a strong background in software development, machine learning, and cloud-based services. The Python Developer will be responsible for building and maintaining applications and infrastructure that leverage ChatGPT and other AI technologies to create innovative solutions for our clients.

Responsibilities:
- Develop and maintain applications using Python, with a focus on
integrating ChatGPT, AWS GlueJobs/Azure Functions and other.
- Design, build, and deploy machine learning models.
Implement ETL processes using AWS GlueJobs/Azure Functions to
process and transform large datasets.
- Collaborate with cross-functional teams to define, design, and ship
new features and enhancements.
- Optimize applications for maximum performance, scalability, and
maintainability.
- Troubleshoot, debug, and resolve software defects and issues.
- Keep up-to-date with the latest industry trends and technologies to
ensure the software is current and competitive.
- Provide technical guidance and support to other team members.
- Write clean, maintainable, and well-documented code.
- Participate in code reviews and contribute to improving code quality.

Requirements:
- 3+ years of experience in software development using Python.
- Hands-on experience with AWS services or Azure Cloud Platform
- Strong understanding of machine learning concepts, NLP, and
ChatGPT.
- Experience in building, training, and deploying machine learning
models.
- Familiarity with ETL processes and data transformation.
- Strong knowledge of web services, API development, and RESTful
APIs.
- Proficient understanding of code versioning tools, such as Git.
- Excellent problem-solving skills and attention to detail.
- Strong verbal and written communication skills.
- Knowledge of frameworks and libraries such as Pandas, FastAPI,
SpaCy, etc.

Preferred Qualifications:
- Experience working with other AI and NLP technologies, such as
OpenAI's GPT family, Azure OpenAI, PyTorch or related.
- Knowledge of containerization and orchestration technologies, such as
Docker and Kubernetes.
- Familiarity with agile development methodologies, such as Scrum or
Kanban.

Perks:
— Flexible vacations & paid time off;
— Sporting events at your option;
— PE and legal support;
— Learning programs;
— Variety of knowledge-sharing opportunities.",Upper,
